,ref_id,breed_id,type,website,created_at,updated_at,city,state,bwh,club,parent_club,specialty_club,licensed_club,bloodline,small_size,medium_size,large_size,breed_options,males,females,expected_date,birth,age,breed
0,3192,62,coming-soon,/breeder/barbara-miller-32372/cardigan-welsh-corgi/coming-soon,2016-08-19 12:07:13,2020-09-09 19:42:14,Gig Harbor,WA,,1,1,0,0,0,0,1,0,,0,0,2050-01-01,,,cardigan-welsh-corgi
1,259197,113,listing,/breeder/melissa-norton-27943/french-bulldog/259197,2021-04-05 20:57:16,2021-04-05 20:57:17,Redmond,WA,,,0,1,0,0,1,0,0,,3,2,,2021-02-04,10 weeks old,french-bulldog
2,42888,81,storefront,/breeder/mary-cox-42888?source_breed=collie,2017-02-10 17:04:09,2020-03-10 18:40:36,Issaquah,WA,,1,1,1,0,0,0,0,1,,0,0,,,,collie
3,40693,268,storefront,/breeder/mayalu-dogs?source_breed=pumi,2016-12-13 00:52:05,2021-01-29 13:59:40,Issaquah,WA,,1,1,0,0,0,1,0,0,,0,0,,,,pumi
4,34466,209,storefront,/breeder/joanne-bartkoski-34466?source_breed=rottweiler,2016-06-23 22:42:13,2021-04-14 10:24:33,Snohomish,WA,1,,0,0,0,0,0,0,1,,0,0,,,,rottweiler
5,7030,62,coming-soon,/breeder/leo-cadie-washburn-30766/cardigan-welsh-corgi/coming-soon,2016-03-08 00:12:12,2021-04-05 09:11:44,Auburn,WA,,1,1,0,0,0,0,1,0,,0,0,2021-11-01,,,cardigan-welsh-corgi
6,36219,194,storefront,/breeder/lakeridge-standard-poodles?source_breed=poodle,2016-08-10 17:45:00,2020-11-28 11:43:25,Renton,WA,1,,0,1,1,0,1,0,1,,0,0,,,,poodle
7,260300,202,listing,/breeder/caroline-mccormick-105263/pug/260300,2021-04-14 22:09:39,2021-04-14 22:22:04,Snohomish,WA,,1,1,1,0,1,1,0,0,,2,3,,2021-03-31,2 weeks old,pug
8,256899,201,listing,/breeder/cynthia-thorson-52473/portuguese-water-dog/256899,2021-03-15 16:07:26,2021-03-15 16:07:27,Snohomish,WA,,,0,0,0,1,0,1,0,,6,4,,2021-02-11,9 weeks old,portuguese-water-dog
9,256900,201,listing,/breeder/cynthia-thorson-52473/portuguese-water-dog/256900,2021-03-15 16:12:21,2021-03-15 16:12:22,Snohomish,WA,,,0,0,0,1,0,1,0,,5,6,,2021-02-13,8 weeks old,portuguese-water-dog
10,257253,221,listing,/breeder/tanda-shirrod-29491/shih-tzu/257253,2021-03-18 17:38:43,2021-03-18 18:03:15,Snohomish,WA,,,0,1,1,1,1,0,0,,1,2,,2020-11-26,4 months old,shih-tzu
11,254267,246,listing,/breeder/lynn-mckee-36043/toy-fox-terrier/254267,2021-02-20 12:52:23,2021-02-20 12:52:24,Lake Stevens,WA,,,0,0,0,1,1,0,0,,2,1,,2021-01-31,10 weeks old,toy-fox-terrier
